From;To;Distance (km)
BYDGOSZCZ_2;WROCLAW_4;293,41
BYDGOSZCZ_2;WROCLAW_5;291,35
BYDGOSZCZ_2;ZLOTOW;103,04
BYDGOSZCZ_2;CHRZANOW;425,68
BYDGOSZCZ_2;KATOWICE;406,14
BYDGOSZCZ_2;BIELSKO_BIALA;454,89
BYDGOSZCZ_2;GDANSK_1;166,76
BYDGOSZCZ_2;GDANSK_2;156,79
BYDGOSZCZ_2;GDANSK_3;163,5
BYDGOSZCZ_2;STARGARD_SZCZECINSKI;235,14
BYDGOSZCZ_2;SZCZECIN_1;275,87
BYDGOSZCZ_2;SZCZECIN_2;272,26
BYDGOSZCZ_2;SZCZECIN_3;260,37
BYDGOSZCZ_2;TCZEW;136,61
BYDGOSZCZ_2;GRUDZIADZ_1;66,33
BYDGOSZCZ_2;GRUDZIADZ_2;67,33
BYDGOSZCZ_2;WARSZAWA_STAWKI;242,46
BYDGOSZCZ_2;JOZEFOSLAW;280,55
BYDGOSZCZ_2;GDANSK_4;157,51
BYDGOSZCZ_2;GDANSK_5;166,86
BYDGOSZCZ_2;OLSZTYN;204,62
BYDGOSZCZ_2;ZIELONA_GORA_1;297,63
BYDGOSZCZ_2;ZIELONA_GORA_2;298,3
BYDGOSZCZ_2;SLUBICE;316,44
BYDGOSZCZ_2;DREZDENKO;182,54
BYDGOSZCZ_2;STRZELCE_KRAJENSKIE;197,44
BYDGOSZCZ_2;GORZOW_1;220,15
BYDGOSZCZ_2;GORZOW_2;224,16
BYDGOSZCZ_2;PNIEWY;161,98
BYDGOSZCZ_2;PLOCK_1;151,17
BYDGOSZCZ_2;PLOCK_2;150,53
BYDGOSZCZ_2;PLOCK_3;150,53
BYDGOSZCZ_2;BRWINOW;255,68
BYDGOSZCZ_2;WARSZAWA_TARG;246,39
BYDGOSZCZ_2;WARSZAWA_UR;279,81
BYDGOSZCZ_2;TARNOWO_PODGORNE;150,13
BYDGOSZCZ_2;GNIEZNO;91,25
BYDGOSZCZ_2;GRUDZIADZ_3;66,18
BYDGOSZCZ_3;DC;141,12
BYDGOSZCZ_3;BIALYSTOK_1;399,8
